"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
"RM1070 Ford Motor Company Ltd",Contract,"CROWN COMMERCIAL SERVICE",Awarded,2015-04-30T10:15:09Z,"Vehicle Purchase RM1070","Crown Commercial Service as the Contracting Authority awarded a Framework Agreement for use by UK
Public Sector Bodies identified at VI.3 (and any future successors to these organisations), which includes
Central Government Departments and their Arm's Length Bodies and Agencies, Non Departmental Public
Bodies, NHS Bodies and Local Authorities.
The above Public Sector Bodies have a need for Vehicle Purchase.
Crown Commercial Service reserved the right for an electronic auction to be held by Public Sector Bodies
during further competition among the parties to the Framework Agreement(s).",,,"Any region","34100000 34400000 ",,supplier@ccs.gsi.gov.uk,"9th Floor, The Capital, Old Hall Streeet",,Liverpool,"L3 9PP",England,"0345 010 3503",www.gov.uk/ccs,"Ford Motor Company Ltd - Vehicle Purchase Framework - [REDACTED].pdf ",,,02/12/2014,01/12/2018,04/09/2014,YES,"RM1070 Alexander Dennis Ltd",Yes,Yes,No,Products,2500000000,,02/12/2014,0,"[Ford Motor Company Ltd|Eagle Way
Warley
Brentwood
CM13 3BW|||No|No]",,02/12/2014,01/12/2018,"Open ",
BIP450608956,Contract,"Pembrokeshire County Council",Awarded,2019-11-27T09:50:04Z,"GB-Haverfordwest: TPPL Pembrokeshire County Council HCC Lot 2 - 2 x Panel Vans (3280)","TPPL Pembrokeshire County Council HCC Lot 2 - 2 x Panel Vans (3280)",,,Wales,"34136000 ","Gerald Rowlands",gerald.rowlands@pembrokeshire.gov.uk,"County Hall",,Haverfordwest,"SA26 2LU",UK,01437775953,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=450608956 ",,02/12/2019,02/01/2020,08/11/2019,NO,,No,No,No,Products,44579,,08/11/2019,44579.36,"[Ford Motor Company Ltd|Eagle Way
        Brentwood
        CM13 3BW|NONE||No|No]","Dan Murphy",02/12/2019,02/01/2020,"NotSpecified ",
BIP450605222,Contract,"Sheffield City Council",Awarded,2019-11-27T09:50:02Z,"GB-Sheffield: TPPL Sheffield City Council HCC Lot 2 - 10 x 15 Seat & 19 x 17 Seat Minibuses (2959)","TPPL Sheffield City Council HCC Lot 2 - 10 x 15 Seat & 19 x 17 Seat Minibuses (2959)",,,"Yorkshire and the Humber","34114400 ","Anna Peysner",anna.peysner@sheffield.gov.uk,"Staniforth Road",,Sheffield,"S9 3GZ",UK,01142037575,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=450605222 ",,02/02/2020,02/03/2020,01/11/2019,NO,,No,No,No,Products,746615,,01/11/2019,746615.43,"[Ford Motor Company Ltd|Eagle Way
        Brentwood
        CM13 3BW|NONE||No|No]","Dan Murphy",02/02/2020,02/03/2020,"NotSpecified ",
BIP448797962,Contract,"Three Rivers District Council",Awarded,2019-11-20T14:20:03Z,"GB-Northway: TPPL Three Rivers District Council HCC Lot 2 - 9 x 3.5t Tippers (2844)","TPPL Three Rivers District Council HCC Lot 2 - 9 x 3.5t Tippers (2844)",,,"East of England","34134200 ","Howard Hughes",howard.hughes@watford.gov.uk,"Three Rivers House",Northway,Rickmansworth,"WD3 1RL",UK,01923278370,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=448797962 ",,02/01/2020,02/02/2020,22/10/2019,NO,,No,No,No,Products,254884,,22/10/2019,254884.01,"[Ford Motor company Ltd|Eagle Way
        Brentwood
        CM13 3BW|NONE||No|No]","Dan Murphy",02/01/2020,02/02/2020,"NotSpecified ",
CBCFRPT12019,Contract,"CORBY BOROUGH COUNCIL",Awarded,2019-10-08T16:27:26Z,"Housing Services Fleet Replacement Programme Tranche 1","First tranche of non-electric vehicle fleet replacement.",,,"East Midlands","34100000 ",,procurement@corby.gov.uk,"George Street",,CORBY,NN171QG,England,,,,,,08/10/2019,07/10/2022,17/07/2019,NO,,Yes,Yes,No,Products,910000,,04/09/2019,910000,"[Ford Motor Company Ltd|Ford Fleet Business Centre
V Building Annex
Ford Dunston Technical Centre
Basildon
Esses
SS15 6GB|COMPANIES_HOUSE|00235446|No|No]",,08/10/2019,07/10/2022,"CallOffFromFrameworkAgreement ",
BIP406210399,Contract,"Pembrokeshire County Council",Awarded,2019-08-23T14:40:03Z,"GB-Pembroke: TPPL Pembrokeshire County Council HCC Lot 1 - 1 x Panel Van","TPPL Pembrokeshire County Council HCC Lot 1 - 1 x Panel Van",,,Wales,"34136200 ","Gerald Rowlands",gerald.rowlands@pembrokeshire.gov.uk,"County Hall",,Haverfordwest,"SA26 2LU",UK,01437775953,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=406210399 ",,26/09/2019,26/10/2019,07/06/2019,NO,,No,No,No,Products,28926,,07/06/2019,28926.58,"[Ford Motor company Ltd|Eagle Way
        Brentwood
        CM13 3BW|NONE||No|No]","Dan Murphy",26/09/2019,26/10/2019,"NotSpecified ",
BIP416353704,Contract,"Conwy County Borough Council",Awarded,2019-08-23T14:32:17Z,"GB-Conwy: TPPL Conwy Council HCC Lot 2 - 4 x Vans","TPPL Conwy Council HCC Lot 2 - 4 x Vans",,,Wales,"34136000 ","Nigel Jones",nigel.jones@conwy.gov.uk,"Black Marsh Road",,Conwy,"LL28 5HA",UK,01492577625,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=416353704 ",,02/10/2019,02/11/2019,17/07/2019,NO,,No,No,No,Products,51818,,17/07/2019,51818.38,"[Ford Motor company Ltd|Eagle Way
        Brentwood
        CM13 3BW|NONE||No|No]","Dan Murphy",02/10/2019,02/11/2019,"NotSpecified ",
BIP416091657,Contract,"Pembrokeshire County Council",Awarded,2019-08-23T14:31:20Z,"GB-Haverfordwest: TPPL Pembrokeshire County Council HCC Lot 2 - 2 x Panel Vans","TPPL Pembrokeshire County Council HCC Lot 2 - 2 x Panel Vans",,,Wales,"34136200 ","Vince Cronin",gerald.rowlands@pembrokeshire.gov.uk,"Fleet Management","Unit 28, Thornton Industrial Estate","Milford Haven","SA73 2RR",UK,01437775440,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=416091657 ",,23/11/2019,23/12/2019,23/07/2019,NO,,No,No,No,Products,38251,,23/07/2019,38251.06,"[Ford Motor company Ltd|Eagle Way
        Brentwood
        CM13 3BW|NONE||No|No]","Dan Murphy",23/11/2019,23/12/2019,"NotSpecified ",
BIP411394253,Contract,"Rotherham Metropolitan Borough Council",Awarded,2019-08-23T14:30:59Z,"GB-Rotherham: TPPL Rotherham Council HCC Lot 2 - 8 x Community Protection Vehicles","TPPL Rotherham Council HCC Lot 2 - 8 x Community Protection Vehicles",,,"Yorkshire and the Humber","34136000 ","Andrew Barker",andrew.barker@rotherham.gov.uk,"Hellaby Depot","Sandbeck Way",Rotherham,"S66 8QL",UK,01709334314,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=411394253 ",,02/09/2019,02/10/2019,19/06/2019,NO,,No,No,No,Products,116404,,19/06/2019,116404.08,"[Ford Motor company Ltd|Eagle Way
        Brentwood
        CM13 3BW|NONE||No|No]","Dan Murphy",02/09/2019,02/10/2019,"NotSpecified ",
BIP414069195,Contract,"London Borough of Newham",Awarded,2019-08-21T09:40:45Z,"GB-London Borough of Newham: TPPL London Borough of Newham HCC lot 2","TPPL London Borough of Newham HCC lot 2",,,London,"34136000 ","Dave Adams",david.adams@newham.gov.uk,"Folkestone Road",,London,"E6 6BX",UK,02084303941,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=414069195 ",,02/07/2019,02/08/2019,15/11/2018,NO,,No,No,No,Products,326015,,15/11/2018,326015,"[Ford Motor Company Ltd|Eagle Way
        Brentwood
        CM13 3BW|NONE||No|No]","Dan Murphy",02/07/2019,02/08/2019,"NotSpecified ",
7620128174-1,Contract,"FCO SERVICES",Awarded,2019-08-09T11:58:47Z,"Vehicle Purchase",https://www.crowncommercial.gov.uk/agreements/RM6060,,MK197BH,,"34100000 ",,PurchasingEnquiries@fco.gov.uk,"HANSLOPE PARK",,"MILTON KEYNES",MK197BH,England,,,,,N/A,12/06/2019,01/12/2022,11/06/2019,NO,,Yes,No,No,Products,22952,,11/06/2019,22952,"[FORD MOTOR COMPANY LTD TRUST A/C|CM133BW|NONE||Yes|No]",,12/06/2019,01/12/2022,"CompetitiveDialogueOJEU ",
7620128175-1,Contract,"FCO SERVICES",Awarded,2019-08-09T11:55:36Z,"Vehicle Purchase",https://www.crowncommercial.gov.uk/agreements/RM6060,,MK197BH,,"34100000 ",,PurchasingEnquiries@fco.gov.uk,"HANSLOPE PARK",,"MILTON KEYNES",MK197BH,England,,,,,N/A,12/06/2019,01/12/2022,11/06/2019,NO,,Yes,No,No,Products,22952,,11/06/2019,22952,"[FORD MOTOR COMPANY LTD TRUST A/C|CM13 3BW|NONE||Yes|No]",,12/06/2019,01/12/2022,"CompetitiveDialogueOJEU ",
KNOWS001-DN397970-93911990,Contract,"Knowsley Council",Awarded,2019-06-28T14:52:42Z,"The purchase of 2No Multi-Purpose Vehicles","Multi-purpose vehicle to be used by KMBC front line services",,,"North West","34110000 ","Mark Woodward",mark.woodward@knowsley.gov.uk,"2nd Floor, Municipal Building","Archway Road",Huyton,"L36 9YU",England,"+44 1514435410",http://www.knowsley.gov.uk,,,,28/06/2019,26/07/2019,26/03/2019,NO,,No,No,No,Products,33000,60000,27/06/2019,60000,"[Ford Motor Company Ltd|CM13 3BW|NONE||No|Yes]","Miss Karen Webb",28/06/2019,26/07/2019,"Open ",
7620128155,Contract,"FCO SERVICES",Awarded,2019-04-04T11:12:09Z,"Vehicle Purchase",https://ccs-agreements.cabinetoffice.gov.uk/contracts/rm6060,,"MK19 7BH",,"34000000 60112000 ",,PurchasingEnquiries@fco.gov.uk,"HANSLOPE PARK",,"MILTON KEYNES",MK197BH,England,,,,,N/A,29/01/2019,01/12/2022,28/01/2019,NO,,Yes,No,No,Products,21905.1,,28/01/2019,21905.1,"[FORD MOTOR COMPANY LTD TRUST A/C|CM13 3BW|NONE||Yes|No]",,29/01/2019,01/12/2022,"CompetitiveDialogueOJEU ",
7620128163,Contract,"FCO SERVICES",Awarded,2019-04-04T10:55:25Z,"Vehicle Purchase",https://ccs-agreements.cabinetoffice.gov.uk/contracts/rm6060,,"MK19 7BH",,"34000000 60112000 ",,PurchasingEnquiries@fco.gov.uk,"HANSLOPE PARK",,"MILTON KEYNES",MK197BH,England,,,,,N/A,29/01/2019,01/12/2022,28/01/2019,NO,,Yes,No,No,Products,21905.1,,28/01/2019,21905.1,"[FORD MOTOR COMPANY LTD TRUST A/C|CM13 3BW|NONE||Yes|No]",,29/01/2019,01/12/2022,"CompetitiveDialogueOJEU ",
7620128174,Contract,"FCO SERVICES",Awarded,2019-04-04T10:33:51Z,"Vehicle Purchase",https://ccs-agreements.cabinetoffice.gov.uk/contracts/rm6060,,"MK19 7BH",,"34000000 60112000 ",,PurchasingEnquiries@fco.gov.uk,"HANSLOPE PARK",,"MILTON KEYNES",MK197BH,England,,,,,N/A,28/01/2019,01/12/2022,27/01/2019,NO,,Yes,No,No,Products,22952,,27/01/2019,22952,"[FORD MOTOR COMPANY LTD TRUST A/C|CM13 3BW|NONE||Yes|No]",,28/01/2019,01/12/2022,"CompetitiveDialogueOJEU ",
7620128175,Contract,"FCO SERVICES",Awarded,2019-04-04T10:17:24Z,"Vehicle Purchase",https://ccs-agreements.cabinetoffice.gov.uk/contracts/rm6060,,"MK19 7BH",,"34000000 60112000 ",,PurchasingEnquiries@fco.gov.uk,"HANSLOPE PARK",,"MILTON KEYNES",MK197BH,England,,,,,N/A,28/01/2019,01/12/2022,27/01/2019,NO,,Yes,No,No,Products,22952,,27/01/2019,22952,"[FORD MOTOR COMPANY LTD TRUST A/C|CM13 3BW|NONE||Yes|No]",,28/01/2019,01/12/2022,"CompetitiveDialogueOJEU ",
MRTN001-DN393570-08439059,Contract,"London Borough of Merton",Awarded,2019-02-18T14:55:38Z,"Petrol Vans","Purchase of 3 petrol vans.",,,London,"34115200 ",,vicky.murray@merton.gov.uk,"Civic Centre","London Rd",Morden,"SM4 5DX","United Kingdom","+44 2082744901",http://www.merton.gov.uk/,,,,18/02/2019,31/03/2019,08/02/2019,NO,,Yes,Yes,No,Products,37654,37654,15/02/2019,37654.98,"[Ford Motor Company Ltd|CM13 3BW|NONE||No|No]","Roland White",18/02/2019,31/03/2019,"Open ",
BIP370434484,Contract,"Crawley Borough Council",Awarded,2019-01-16T11:24:11Z,"GB-Crawley: TPPL Crawley Borough Council HCC Lot 2 - 10 x 3.5t LWB Double Utility Cab Tippers","TPPL Crawley Borough Council HCC Lot 2 - 10 x 3.5t LWB Double Utility Cab Tippers",,,"South East","34134200 ","Graham Rowe",graham.rowe@crawley.gov.uk,"Town Hall","The Boulevard",Crawley,"RH10 1UZ",UK,01293438460,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=370434484 ",,22/12/2018,21/01/2019,21/12/2018,NO,,No,No,No,Products,271680,,21/12/2018,271680,"[Ford Motor Company Ltd|Eagle Way
        Brentwood
        CM13 3BW|NONE||No|No]","Lisa Harden",22/12/2018,21/01/2019,"NotSpecified ",
"RM1070 Lot 2-2",Contract,"FCO SERVICES",Awarded,2019-01-03T15:54:02Z,"Vehicle Purchase",http://ccs-agreements.cabinetoffice.gov.uk/?field_views_search_value=%22RM1070%22&items_per_page=10,,"MK19 7BH",,"34000000 60112000 ",,PurchasingEnquiries@fco.gov.uk,"HANSLOPE PARK",,"MILTON KEYNES",MK197BH,England,,,,,N/A,02/10/2018,01/12/2018,01/10/2018,NO,,Yes,No,No,Products,19608.93,,01/10/2018,19608.93,"[FORD MOTOR COMPANY LTD TRUST A/C|CM13 3BW|NONE||Yes|No]",,02/10/2018,01/12/2018,"CompetitiveDialogueOJEU ",
RM1070-4,Contract,"FCO SERVICES",Awarded,2019-01-03T14:57:11Z,RM1070,http://ccs-agreements.cabinetoffice.gov.uk/?field_views_search_value=%22RM1070%22&items_per_page=10,,"MK19 7BH",,"34000000 60112000 ",,PurchasingEnquiries@fco.gov.uk,"HANSLOPE PARK",,"MILTON KEYNES",MK197BH,England,,,,,N/A,29/10/2018,01/12/2018,28/10/2018,NO,,Yes,No,No,Products,13599.84,,28/10/2018,13599.84,"[FORD MOTOR COMPANY LTD TRUST A/C|CM13 3BW|NONE||Yes|No]",,29/10/2018,01/12/2018,"CompetitiveDialogueOJEU ",
"RM1070 LOT 2-1",Contract,"FCO SERVICES",Awarded,2019-01-03T14:49:40Z,"Vehicle Purchase",http://ccs-agreements.cabinetoffice.gov.uk/?field_views_search_value=%22RM1070%22&items_per_page=10,,"MK19 7BH",,"34000000 60112000 ",,PurchasingEnquiries@fco.gov.uk,"HANSLOPE PARK",,"MILTON KEYNES",MK197BH,England,,,,,N/A,29/10/2018,01/12/2018,28/10/2018,NO,,Yes,No,No,Products,13599.84,,28/10/2018,13599.84,"[FORD MOTOR COMPANY LTD TRUST A/C|CM13 3BW|NONE||Yes|No]",,29/10/2018,01/12/2018,"CompetitiveDialogueOJEU ",
RM1070-3,Contract,"FCO SERVICES",Awarded,2019-01-03T14:41:51Z,"Vehicle Purchase",http://ccs-agreements.cabinetoffice.gov.uk/?field_views_search_value=%22RM1070%22&items_per_page=10,,"MK19 7BH",,"34000000 60112000 ",,PurchasingEnquiries@fco.gov.uk,"HANSLOPE PARK",,"MILTON KEYNES",MK197BH,England,,,,,N/A,29/10/2018,01/12/2018,28/10/2018,NO,,Yes,No,No,Products,13599.84,,28/10/2018,13599.84,"[FORD MOTOR COMPANY LTD TRUST A/C|CM13 3BW|NONE||Yes|No]",,29/10/2018,01/12/2018,"CompetitiveDialogueOJEU ",
"RM1070 LOT 2",Contract,"FCO SERVICES",Awarded,2019-01-03T14:33:33Z,"Vehicle Purchase",http://ccs-agreements.cabinetoffice.gov.uk/?field_views_search_value=%22RM1070%22&items_per_page=10,,"MK19 7BH",,"34000000 60112000 ",,PurchasingEnquiries@fco.gov.uk,"HANSLOPE PARK",,"MILTON KEYNES",MK197BH,England,,,,,N/A,29/10/2018,01/12/2018,28/10/2018,NO,,Yes,No,No,Products,10820.38,,28/10/2018,10820.38,"[FORD MOTOR COMPANY LTD TRUST A/C|CM13 3BW|NONE||Yes|No]",,29/10/2018,01/12/2018,"CompetitiveDialogueOJEU ",
RM1070-2,Contract,"FCO SERVICES",Awarded,2019-01-03T14:27:56Z,"Vehicle Purchase",http://ccs-agreements.cabinetoffice.gov.uk/?field_views_search_value=%22RM1070%22&items_per_page=10,,"MK19 7BH",,"34000000 60112000 ",,PurchasingEnquiries@fco.gov.uk,"HANSLOPE PARK",,"MILTON KEYNES",MK197BH,England,,,,,N/A,29/10/2018,01/12/2018,28/10/2018,NO,,Yes,No,No,Products,10820.38,,28/10/2018,10820.38,"[FORD MOTOR COMPANY LTD TRUST A/C|CM13 3BW|NONE||Yes|No]",,29/10/2018,01/12/2018,"CompetitiveDialogueOJEU ",
BIP367582964,Contract,"Conwy County Borough Council",Awarded,2019-01-03T11:29:12Z,"GB-Conwy: TPPL Conwy County Borough Council HCC Framework Lot 2","1 x 3.5t GVW Chassis c/w NTM Eight Stillage Recycling Body",,,Wales,"34144511 ","Nigel Jones",nigel.jones@conwy.gov.uk,"Black Marsh Road",,Conwy,"CB24 8RE",UK,01492577625,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=367582964 ",,23/08/2017,25/09/2017,22/08/2017,NO,,No,No,No,Products,44181,,22/08/2017,44181.55,"[Ford Motor Company Ltd|Eagle Way
        Brentwood
        CM13 3BW|NONE||No|No]","KIRSTIE TURNBULL",23/08/2017,25/09/2017,"NotSpecified ",
BIP367549430,Contract,"Conwy County Borough Council",Awarded,2019-01-03T10:20:12Z,"GB-Conwy: TPPL Conwy Council HCC Framework lot 2 1 x 17 seat minibus","1 x 17 seat minibus",,,Wales,"34114400 ","Nigel Jones",nigel.jones@conwy.gov.uk,"Black Marsh Road",,Conwy,"LL28 5HA",UK,01492577625,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=367549430 ",,23/08/2017,25/09/2017,22/08/2017,NO,,No,No,No,Products,23908,,22/08/2017,23908.1,"[Ford Motor Company Ltd|Eagle Way
        Brentwood
        CM13 3BW|NONE||No|No]","KIRSTIE TURNBULL",23/08/2017,25/09/2017,"NotSpecified ",
KNOWS001-DN360732-11656409,Contract,"Knowsley Council",Awarded,2018-12-27T13:23:31Z,"Supply of 3.5t G.V.W Standard Tipper","The purchase of nine (9) 3.5 tonne tipper vehicles",,,"North West","60000000 ","Mark Woodward",mark.woodward@knowsley.gov.uk,"2nd Floor, Municipal Building","Archway Road",Huyton,"L36 9YU",England,"+44 1514435410",http://www.knowsley.gov.uk,,,,02/01/2019,31/05/2019,07/09/2018,NO,,No,No,No,Products,244000,244000,19/12/2018,244000,"[Ford Motor Company Ltd|CM13 3BW|NONE||No|Yes]","Miss Lisa Harden",02/01/2019,31/05/2019,"Open ",
7620125566,Contract,"FCO SERVICES",Awarded,2018-07-12T09:40:29Z,"Vehicle Purchase",http://ccs-agreements.cabinetoffice.gov.uk/?field_views_search_value=%22RM1070%22&items_per_page=10,,"MK19 7BH",,"34000000 60112000 ",,purchasing.enquiries@fco.gov.uk,"HANSLOPE PARK",,"MILTON KEYNES",MK197BH,England,,,,,N/A,21/02/2018,01/12/2018,20/02/2018,NO,,Yes,No,No,Products,18946.93,,20/02/2018,18946.93,"[FORD MOTOR COMPANY LTD TRUST A/C|SS16 5XX|NONE||Yes|No]",,21/02/2018,01/12/2018,"CompetitiveDialogueOJEU ",
7620124842,Contract,"FCO SERVICES",Awarded,2018-02-28T13:14:38Z,"Vehicle Purchase",http://ccs-agreements.cabinetoffice.gov.uk/?field_views_search_value=%22RM1070%22&items_per_page=10,,MK197BH,,"34000000 60112000 ",,purchasing.enquiries@fco.gov.uk,"HANSLOPE PARK",,"MILTON KEYNES",MK197BH,England,,,,,,20/11/2017,01/12/2018,19/11/2017,NO,,Yes,No,No,Products,13049.37,,19/11/2017,13049.37,"[FORD MOTOR COMPANY LTD TRUST A/C|SS16 5XX|NONE||No|No]",,20/11/2017,01/12/2018,"CompetitiveDialogueOJEU ",
7620123904,Contract,"FCO SERVICES",Awarded,2017-11-06T12:08:08Z,"Vehicle Purchase","Call off from CCS Framework RM1070 - http://ccs-agreements.cabinetoffice.gov.uk/?field_views_search_value=%22RM1070%22&items_per_page=10",,"MK19 7BH",,"34000000 60112000 ",,purchasing.enquiries@fco.gov.uk,"Hanslope Park",,"Milton Keynes","MK19 7BH",England,,,,,N/A,19/11/2017,01/12/2018,18/11/2017,NO,,Yes,No,No,Products,12460.03,,18/07/2017,12460.03,"[Ford Motor Company Ltd Trust A/C|SS16 5XX|||Yes|No]",,19/07/2017,01/12/2018,"CompetitiveDialogueOJEU ",
7620123911,Contract,"FCO SERVICES",Awarded,2017-11-06T11:30:00Z,"Vehicle Purchase","Call off from CCS Framework RM1070 - http://ccs-agreements.cabinetoffice.gov.uk/?field_views_search_value=%22RM1070%22&items_per_page=10",,"MK19 7BH",,"34000000 60112000 ",,purchasing.enquiries@fco.gov.uk,"Hanslope Park",,"Milton Keynes","MK19 7BH",England,,,,,N/A,19/07/2017,01/12/2018,18/07/2017,NO,,Yes,No,No,Products,12460.03,,18/07/2017,12460.03,"[Ford Motor Company Ltd Trust A/C|SS16 5XX|||Yes|No]",,19/07/2017,01/12/2018,"CompetitiveDialogueOJEU ",
7620123917,Contract,"FCO SERVICES",Awarded,2017-11-06T11:04:32Z,"Vehicle Purchase","Call off from CCS Framework RM1070 - http://ccs-agreements.cabinetoffice.gov.uk/?field_views_search_value=%22RM1070%22&items_per_page=10",,"MK19 7BH",,"34000000 60112000 ",,purchasing.enquiries@fco.gov.uk,"Hanslope Park",,"Milton Keynes","MK19 7BH",England,,,,,N/A,21/07/2017,01/12/2018,20/07/2017,NO,,Yes,No,No,Products,15292.7,,20/07/2017,15292.7,"[Ford Motor Company Ltd Trust A/C|SS16 5XX|||Yes|No]",,21/07/2017,01/12/2018,"CompetitiveDialogueOJEU ",
7620123466,Contract,"FCO SERVICES",Awarded,2017-10-09T14:02:22Z,"Vehicle Purchase",http://ccs-agreements.cabinetoffice.gov.uk/?field_views_search_value=%22RM1070%22&items_per_page=10,,"MK19 7BH",,"34000000 60112000 ",,purchasing.enquiries@fco.gov.uk,"Hanslope Park",,"Milton Keynes","MK19 7BH",England,,,,,N/A,23/05/2017,01/12/2018,22/05/2017,NO,,Yes,No,No,Services,17403.13,,22/05/2017,17403.13,"[Ford Motor Company Ltd Trust A/C|SS16 5XX|||Yes|No]",,23/05/2017,01/12/2018,"CompetitiveDialogueOJEU ",
7620123468,Contract,"FCO SERVICES",Awarded,2017-10-09T13:59:50Z,"Vehicle Purchase",http://ccs-agreements.cabinetoffice.gov.uk/?field_views_search_value=%22RM1070%22&items_per_page=10,,"MK19 7BH",,"34000000 60112000 ",,purchasing.enquiries@fco.gov.uk,"Hanslope Park",,"Milton Keynes","MK19 7BH",England,,,,,N/A,23/05/2017,01/12/2018,22/05/2017,NO,,Yes,No,No,Services,17403.13,,22/05/2017,17403.13,"[Ford Motor Company Ltd Trust A/C|SS16 5XX|||Yes|No]",,23/05/2017,01/12/2018,"CompetitiveDialogueOJEU ",
7620121449/1,Contract,"FCO SERVICES",Awarded,2017-10-04T10:00:36Z,"Vehicle Purchase",http://ccs-agreements.cabinetoffice.gov.uk/?field_views_search_value=%22RM1070%22&items_per_page=10,,"MK19 7BH",,"34000000 60112000 ",,purchasing.enquiries@fco.gov.uk,"Hanslope Park",,"Milton Keynes","MK19 7BH",England,,,,,N/A,17/10/2017,01/12/2018,16/02/2017,NO,,Yes,No,No,Services,41271.83,,16/02/2017,41271.83,"[Ford Motor Company Ltd Trust A/C|SS16 5XX|||Yes|No]",,17/02/2017,01/12/2018,"CompetitiveDialogueOJEU ",
7620123062,Contract,"FCO SERVICES",Awarded,2017-10-02T12:13:30Z,"Vehicle Purchase",http://ccs-agreements.cabinetoffice.gov.uk/?field_views_search_value=%22RM1070%22&items_per_page=10,,"MK19 7BH",,"34000000 60112000 ",,purchasingenquiries@fco.gov.uk,"Hanslope Park",,"Milton Keynes","MK19 7BH",England,,,,,N/A,28/03/2017,01/12/2018,27/03/2017,NO,,Yes,No,No,Products,23078.32,,27/03/2017,23078.32,"[FORD MOTOR COMPANY LTD TRUST A/C|SS16 5XX|||No|No]",,28/03/2017,01/12/2018,"CompetitiveDialogueOJEU ",
26139,Contract,"Tyne And Wear Fire And Rescue Service",Awarded,2017-05-03T11:55:47Z,"Support Vans/Minibuses","Tyne and Wear Fire and Rescue Authority (TWFRA) are requesting proposals for the supply of the following vehicles:
•	Small Vans
•	Large Vans
•	Specialist Van
•	12-Seat Minibuses
•	9-Seat Tourer

Proposals must be in-accordance with the Crown Commercial Service Framework Agreement reference RM1070 for vehicle purchase (Lot 8 - Blue Light Commercial Vehicles).",,,"North East","34100000 ","Guy Aynsley",guy.aynsley@twfire.gov.uk,"Tyne and Wear Fire and Rescue Service Headquarters","Nissan Way, Barmston Mere, Washington","Sunderland, Tyne and Wear","SR5 3QY",England,,,,,,13/02/2017,12/02/2019,27/01/2017,NO,,No,No,No,Products,266094,,13/02/2017,266094,"[Ford Motor Company Ltd|Eagle Way
Warley
Brentwood|||No|No]",,14/02/2017,13/02/2019,"Other ",
7620121655,Contract,"FCO SERVICES",Awarded,2017-04-11T12:57:14Z,"Vehicle Purchase",http://ccs-agreements.cabinetoffice.gov.uk/?field_views_search_value=%22RM1070%22&items_per_page=10,,"MK19 7BH",,"34000000 60112000 ",,PurchasingEnquiries@fco.gov.uk,"Hanslope Park",,"Milton Keynes","MK19 7BH",England,,,,,N/A,05/10/2016,01/12/2018,04/10/2016,NO,,Yes,No,No,Products,18231.66,,04/10/2016,18231.66,"[Ford Motor Company Ltd Trust A/C|SS16 5XX|||No|No]",,05/10/2016,01/12/2018,"CompetitiveDialog ",
7620121449,Contract,"FCO SERVICES",Awarded,2016-11-15T13:17:18Z,"Vehicle Purchase",http://ccs-agreements.cabinetoffice.gov.uk/?field_views_search_value=%22RM1054%22&items_per_page=10,,"MK19 7BH","South East","34000000 60112000 ",,Purchasing.Enquiries@fco.gov.uk,"Hanslope Park",,"Milton Keynes","MK19 7BH",England,,,,,"N/A ",16/09/2016,16/09/2016,16/09/2016,NO,,Yes,No,No,Products,41741.83,,16/09/2016,41741.83,"[Ford Motor Company Ltd Trust A/C|SS16 5XX|||No|No]",,16/09/2016,16/09/2016," ",
RM1070,Contract,"FCO SERVICES",Awarded,2016-11-15T10:16:58Z,"Vehicle Purchase",http://ccs-agreements.cabinetoffice.gov.uk/?field_views_search_value=%22RM1070%22&items_per_page=10,,"MK19 7BH","South East","34000000 60112000 ",,Purchasing.Enquiries@fco.gov.uk,"Hanslope Park",,"Milton Keynes","MK19 7BH",England,,,,,"N/A ",07/07/2016,07/07/2016,07/07/2016,NO,,Yes,No,No,Products,54204.6,,07/07/2016,54204.6,"[Ford Motor Company Ltd Trust A/C|SS16 5XX|||No|No]",,07/07/2016,07/07/2016," ",
