"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
"546569 - ARCO LTD",Contract,"DEPARTMENT OF HEALTH AND SOCIAL CARE",Awarded,2020-07-06T13:57:01Z,"Supply of Personal Protective Equipment for Healthcare Workers for the Care of Patients with Suspected or Confirmed Novel Coronavirus (COVID-19)","The Department of Health and Social Care (the ""Authority"") has awarded a contract to Arco Ltd for the supply of Personal Protective Equipment (hand sanitizer) to protect Health and Care workers from contracting the Covid 19 disease.",,,"United Kingdom","33741300 ","Department of Health and Social Care",Procurement.Operations@dhsc.gov.uk,"39 Victoria Street",,LONDON,"SW1H 0EU",England,"+44 2072104850",https://www.gov.uk/government/organisations/department-of-health-and-social-care,"Annex D1 - 546569.docx PO546569 Arco Ltd_Redacted.pdf ",,"Justification for the choice of the negotiated procedure without prior publication of a call for competition in accordance with Article 32:
Extreme urgency brought about by events unforeseeable for the contracting authority and in accordance with the strict conditions stated in the directive",07/05/2020,09/05/2020,06/05/2020,NO,,Yes,No,No,Products,1552500,,07/05/2020,1552500,"[Arco Ltd|P.o. Box 21, Waverley Street,
HU1 2SJ
GB|COMPANIES_HOUSE|00133804|No|No]",,07/05/2020,09/05/2020,"Other Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed in Annex D1",,17:00
YPO001-DN242132-25963449,Contract,YPO,Awarded,2017-05-22T14:24:13Z,"YPO - 000550 Emergency Services Uniforms and associated products","YPO are looking for providers to be appointed onto a Framework Agreement for the supply of Emergency Services Uniforms. This Framework is designed to allow YPO to meet the needs of all public sector organisations, therefore YPO has classified the call-off competed only. Competed Call-off Contracts will be awarded following a Mini-Competition. The YPO customer or YPO on behalf of the customer will issue mini competition documents to winning suppliers within each lot. All customer call offs will be managed by the end user. The Call-off Contract will be on the terms specified in the Framework Agreement, supplemented as appropriate by such details as price and quantity or time period covered, which will be specified in the Call-off Order.
The Framework Agreement will cover the period from 1st May 2017 to 30th April 2021. The maximum contract period will therefore be 4 years subject to an annual review, incorporating price negotiations and KPI performance.",,,"Any region","18000000 18100000 35000000 35811100 35811200 ","Contracts Team",contracts@ypo.co.uk,"41 Industrial Park",,Wakefield,"WF2 0XE",England,"+44 1924664685",https://procontract.due-north.com,,"https://procontract.due-north.com/Advert?advertId=463d505c-f7f4-e611-80dd-005056b64545 ",,19/05/2017,18/05/2021,10/04/2017,NO,,Yes,Yes,No,Products,40000000,60000000,05/05/2017,60000000,"[Arco Limited|P.O. BOX 21, Waverley Street, Hull, HU1 2SJ|||No|No][Ballyclare Limited|The Forum Hercules Business Park Bird Hall Lane, Cheadle Hume, Stockport, SK3 OUX|||Yes|No][Cooneen Defence Limited|23 Cooneen Road, Fivemiletown, BT75 0NE|||Yes|No][Eastman Staples Limited|131 Lockwood Road, Huddersfield, HD1 3QW|||Yes|No][Ilasco Limited|52-53 Nasmyth Road, Southfield Industrial Estate, Glenrothes, KY6 2SD|||Yes|No][MWUK Limited|3 Long Acres, Willow Farm, Castle Donington,  DE74 2UG|||No|No][Tailored Image Ltd|8A The Linen Green, Moygashel, BT71 7HB|||Yes|No][WM Sugden & Sons Limited|P.O. Box 1, Thornes Lane Wharf, Wakefield,  WF1 5RQ|||Yes|No][Charterhouse Holdings PLC|Oakridge Park, Trent Lane, Castle Donington, DE74 2PY|||Yes|No][Goliath Footwear Limited|Goliath House, Chain Bar Road, Cleckheaton, BD19 3QF|||Yes|No][Hunter Apparel Solutions Ltd|Glenlough House, 115 Bond's Glen Road,  Killaloo,  BT47 3SU|||Yes|No][Hi-Tec Europe Limited|Unit 1, Colonial Business Park, Colonial Way, Watford, WD24 4PR|||Yes|No][Iturri Limited|Unit 5 IO Centre, Jugglers Close, Banbury, OX16 3TA|||Yes|No][T.W. Kempton (Corporate Clothing) Limited|Byford Road, Leicester, LE4 0DG|||Yes|No][Michael Lupton Associates Limited|Halifax House, Seaton Ross, York, YO42 4LU|||Yes|No][Aegis Engineering Limited|Pegasus House, Solihull Business Park, Solihull, B90 4TG|||Yes|No][Arktis Limited|3 Brookside Units, Venny Bridge,  Exeter, EX4 8JN|||Yes|No][Bell Apparel Limited|Wathen Street, Staple Hill, Bristol, BS16 5LL|||Yes|No][Mehler Vario System GmbH|Edelzeller Str.51, Fulda, 36043, Germany|||Yes|No]",,19/05/2017,18/05/2021,"Open ",
tender_140140/579073,Contract,"Defra Network eTendering Portal",Awarded,2017-04-13T09:49:49Z,"Supply of Ladder Stabilisation Devices using RM3763 - Personal Protective Equipment","Following a health and safety audit of the Voluntary Bat Roost Visitor service it was identified that additional health and safety kit was required to ensure volunteers could use ladders safely. The procurement of devices to ensure that ladders cannot slip when they are being used will reduce the number of accidents and near hits",,,"Any region","79212000 90714000 44423200 71317200 45111230 ",,Supplier.enquiries@naturalengland.org.uk,"Natural England",,Peterborough,"PE1 1NG",England,,,,,"
Please note that Defra procurement uses e-tendering, provided by Bravosolutions. In order to access the Bravo system you will need to be registered.
Could I therefore request that you register on the Bravo portal for Defra.
If you're already registered on the Bravo portal please check that your registration includes Defra, as you have to specify us in order to correctly receive the tender documents.
If you have any problems with the registration process, please contact the Bravo helpline on 0800 368 4850 or alternatively email them at help@bravosolution.co.uk. The link you require for new registration/amendments to registrations is -
https://defra.bravosolution.co.uk",22/03/2017,31/03/2017,22/02/2017,NO,,Yes,Yes,No,Products,25198,,22/03/2017,25198.5,"[Arco Limited|PO Box 21, Waverley Street, Hull, East Riding, HU1 2SJ, UNITED KINGDOM|||No|No]",,22/03/2017,31/03/2017,"Restricted ",
prj_151,Contract,"MINISTRY OF JUSTICE",Awarded,2017-01-17T16:17:19Z,"Supply of Personal Protective Equipment","Supply of Personal Protective Equipment to all public sector prisons across England and Wales.
This contract was awarded following a call-off competition from a Crown Commercial Services framework agreement.",,,"Any region","18143000 18830000 ","Adam Cohen",adam.cohen@justice.gsi.gov.uk,adam.cohen@justice.gsi.gov.uk,,Leeds,"LS7 7EH",England,,,,,,01/04/2016,31/03/2019,31/03/2016,NO,,Yes,No,No,Products,2400000,,24/03/2016,2400000,"[Arco Ltd|Waverley Street, Hull|||No|No]",,01/04/2016,31/03/2019,"Open ",
C6733,Contract,"Home Office",Awarded,2014-03-15T00:00:00Z,"Corporate Wear - RM3133/SB1306.Published for completeness, see description for details","Corporate Wear - RM3133/SB1307.This contract award was not published at the time of award. It has been published for transparency purposes to provide a record of existing departmental contracts.",1,,London,"72000000 ","Simon Corbridge",Simon.Corbridge@homeoffice.gsi.gov.uk,"Freeman's Reach","Freeman's Place",Durham,"DH1 1SL",England,,,,,,25/03/2014,30/06/2017,25/02/2014,NO,,Yes,Yes,No,NotSpecified,960000,960000,25/03/2014,960000,"[ARCO LTD|Po Box 21, Waverley Street,
HULL
HU1 2SJ
UK|NONE||Yes|No]",tenders@arco.co.uk,25/03/2014,30/06/2017,"CallOffFromFrameworkAgreement ",
YPO001-DN463460-37069832,Contract,YPO,Awarded,2020-07-28T00:00:00Z,"YPO - 001022 Work Wear & PPE","YPO are looking for Providers to be appointed onto a Framework Agreement for the provision of workwear and PPE. The Framework is designed to meet the needs of all public sector organisations which includes YPO's internal requirements through the following methods:
Stock: Establishing an agreement for Providers to deliver stock into YPO's distribution centre in Wakefield, West Yorkshire.   
Direct: Establishing an agreement for Providers to deliver to YPO customers on a direct basis whereby the end customer places the order with YPO and YPO places the order with the Provider, but the Provider delivers direct to the end customer. 
Contractual: Establishing an agreement where the end customer will place orders directly with the Provider on a ""contract"" basis and the Provider will deliver direct to the end customer on an agreed basis. The supplier will then pay YPO the agreed rebate.",,,"Any region","18100000 ","Contracts Team",contracts@ypo.co.uk,"41 Industrial Park",,Wakefield,"WF2 0XE",England,"+44 1924664685",https://procontract.due-north.com,,,,01/07/2020,30/06/2024,24/04/2020,NO,,Yes,Yes,No,Products,3000000,5000000,30/06/2020,5000000,"[T.W.Kempton (Corporate Clothing) Limited|Byford Road, Leicester, Leicestershire, LE4 0DG|NONE||Yes|No][Smi INT Group Limited|Corporate House, Kings Road Industrial Estate, Haslemere, Surrey GU27 2QH|NONE||Yes|No][Mi Hub Limited|3 Long Acres, Willow Farm, Castle Donington, Derbyshire DE74 2UG|NONE||No|No][Freight Transport Association Limited|Hermes Hse., St. John's Road., Tunbridge Wells, Kent TN4 9UZ|NONE||No|No][Burlington Uniforms Limited|10 London Mews, London, W2 1HY|NONE||Yes|No][Arden Winch & Co Limited|9 Acres Hill Lane, Sheffield, South Yorkshire, S9 4LR|NONE||Yes|No][Arco Limited|P.O. Box 21, Waverley Street, Hull, North Humberside, HU1 2SJ|NONE||No|No][Agentis Workwear Limited|31-35 Walsall Road, Willenhall, WV13 2EG|NONE||Yes|No]",,11/07/2020,10/07/2024,"Open ",
EASTRIDING1-DN437844-61468466,Contract,"East Riding of Yorkshire",Awarded,2020-06-05T00:00:00Z,"2261-19 Cleaning Chemicals and Hardware Products","Open procedure procurement for a Framework agreement for the supply of Cleaning Chemical and Cleaning Hardware Products to East Riding of Yorkshire Council Supplies Service, including but not limited to: dishwashing tablets, air fresheners, kitchen hygiene, laundry detergents, litter bins, mops, cleaning cloths, brushes and buckets for use in corporate buildings and schools and other local authority offices.",,,"Yorkshire and the Humber","39800000 39830000 39831000 39525800 39224340 39525810 ","Stuart Winton",stuart.winton@eastriding.gov.uk,"County Hall","Cross Street",Beverley,"HU17 9BA",England,"+44 1482395352",http://www.eastriding.gov.uk,,,,02/06/2020,31/05/2024,30/10/2019,YES,EASTRIDING1-DN437844-39212855,Yes,No,No,Products,500000,530000,22/05/2020,530000,"[CPD Direct Ltd|Hull, HU5 1SG|NONE||Yes|No][Diversey Ltd|Northampton, NN3 8PD|NONE||No|No][Elliott Hygiene Ltd|Hull, HU2 8EP|NONE||Yes|No][Essity UK Ltd|Dunstable, LU6 3EJ|NONE||No|No][Freudenberg Household Products LP|Greater Manchester, OL16 2AX|NONE||Yes|No][Forestdale Business Services Ltd|Mitcham, CR4 4ND|NONE||Yes|No][Hertfordshire County Council T/A Herts FullStop|Welwyn Garden City, AL7 1FT|NONE||Yes|No][Leafield Environmental Ltd|Corsham, SN13 9UD|NONE||Yes|No][Lyreco UK Ltd|Telford, TF2 7NB|NONE||No|No][Multex Chemicals Ltd|Hull, HU2 0AB|NONE||Yes|No][Nisbets PLCTown|Bristol, BS11 8TB|NONE||No|No][Parc Supplies Ltd|Leeds, LS14 1PQ|NONE||Yes|No][Robert Scott Ltd|Oldham, OL3 7HG|NONE||No|No][Saul D Harrison & Sons PLC T/A Harrison Wipes|Romford, RM3 8XB|NONE||Yes|No][Selden Research Ltd|Buxton, SK17 9RZ|NONE||Yes|No][The Helping Hand Company (Ledbury) Ltd|Ledbury, HR8 1NS|NONE||Yes|No][Ace Janitorial Supplies Ltd|Sheffield, S8 0EX|NONE||Yes|No][Arco Ltd|Hull, HU1 2SJ|NONE||No|No][Arrow County Supplies Ltd|Shrewsbury, SY3 9AE|NONE||Yes|No][Banner Group Ltd|Sheffield, S9 1XU|NONE||No|No][Bunzl UK Ltd T/A Bunzl Cleaning & Hygiene Supplies|London, W1H 7JT|NONE||No|No][Coventry Chemicals Ltd|Coventry, CV3 4FX|NONE||Yes|No]",,02/06/2020,31/05/2024,"Open ",
LEEDSCITY001-DN445112-24584335,Contract,"Leeds City Council",Awarded,2020-05-22T10:48:17Z,"PROVISION OF PERSONAL PROTECTIVE EQUIPMENT AND WORKWEAR","The supply of personal protection equipment (PPE) including specalist clothing and footwear. \r
The supply of corporate branded workwear including clothing and footwear.",,,"United Kingdom","18000000 ","Mandi Kaushal",Mandeep.Kaushal@leeds.gov.uk,"St George House, 4th Floor,","40 Great George Street",Leeds,"LS1 1UR","United Kingdom","+44 1133785260",http://www.leeds.gov.uk,,"https://procontract.due-north.com/Advert?advertId=b1bb3f56-7401-ea11-80fb-005056b64545 ",,18/05/2020,17/05/2023,05/05/2020,NO,,No,No,No,Products,2040000,2040000,12/05/2020,2040000,"[Direct Corporate Clothing PLC (DCC)|Direct 2 Industrial Park, Roway Lane, Oldbury West Midlands B69 3ES|NONE||No|No][1st Coverall Company Limited|19 North Street Ashford Kent TN24 8LF|NONE||No|No][Arco Limited|PO Box 21 Waverley Street Hull HU1 2SJ|NONE||No|No][Arden Winch & Co Ltd|9 Acres Hill Lane Sheffield S9 4LR|NONE||No|No][CMT Equipment Ltd|CMT Group Newland House The Point Weaver Road Lincoln LN6 3QN|NONE||No|No]",,18/05/2020,17/05/2023,"Open ",
1398,Contract,"CENTRE FOR PROCESS INNOVATION LIMITED",Awarded,2020-04-03T16:27:46Z,"Framework for Ongoing Supply of Personal 1398 - Protection Equipment (PPE), Janitorial Supplies and Safety Equipment","CPI has a requirement for the appointment of a framework agreement for the provision of; personal protection equipment (PPE), janitorial supplies and safety equipment as set out in the attached documentation. This tender is to cover the call-off requirements as and when required by CPI. This framework agreement is split into the following lots: Lot 1 - Personal Protective Equipment (PPE) Lot 2 - Safety Equipment Lot 3 - Janitorial Supplies.  Tender documents are available to view on and bids are to be submitted through NE1 Procurement Services.",,,"North East","18000000 34992000 35113100 35113400 35113410 39800000 ",,e-tendering@uk-cpi.com,Wilton,,REDCAR,TS104RF,England,"01740 625716",https://www.uk-cpi.com/,,"https://ne1procurementservices.com ",,06/03/2020,05/03/2024,18/10/2019,YES,1398,Yes,Yes,No,Products,300000,,03/03/2020,300000,"[Bunzl UK Ltd|York House
45 Seymour Street
London
W1H 7JT
|COMPANIES_HOUSE|2902454|No|No][ARCO LIMITED|Waverley Street
HU1 2SH
GB|COMPANIES_HOUSE|00133804|No|No][RS Components Ltd|PO Box 99
Corby
Northamptonshire
NN17 9RS
|COMPANIES_HOUSE|1002091|No|No][LYRECO UK LIMITED|Unit 5 Deer Park Court
TELFORD
Shropshire
TF2 7NB
GB|COMPANIES_HOUSE|00442696|No|No]",,06/03/2020,05/03/2024,"OpenOJEU ",
YPO001-DN435308-39969987,Contract,YPO,Awarded,2020-01-08T00:00:00Z,"YPO - 000994 Fire Safety Equipment and Associated Products and Services","YPO and Eastern Shires Purchasing Organisation (ESPO) are looking for Providers to be appointed onto a Framework Agreement for the provision of Fire Safety Equipment and Associated Products and Services. The Framework is designed to meet the needs of all public sector organisations which includes YPO/ESPO internal requirements.
YPO is the lead Public Sector Buying Organisation (PSBO) for this Framework Agreement in collaboration with ESPO as a group of Public Sector Buying Organisations (PSBOs; see details below)
",,,"Any region","31518200 35110000 35111300 35111400 35111500 39525400 44115500 51700000 ","Contracts Team",Contracts@ypo.co.uk,"41 Industrial Park",,Wakefield,"WF2 0XE","United Kingdom","+44 01924664685",http://www.ypo.co.uk/,,,,01/01/2020,31/12/2023,05/11/2019,NO,,Yes,Yes,No,Services,6000000,6000000,13/12/2019,6000000,"[MacDonald Martin Ltd|3a Wellmere Road
Leechmere Ind. Est
Sunderland SR2 9TE|NONE||Yes|No][Black & White Fire Safety Ltd|Britannia House,
Boulton Road,
Stevenage,
England,
SG1 4QXS|NONE||Yes|No][Boston Networks Ltd|Boston Networks Ltd
Titanium 1
Kings Inch Place
Braehead
GlasgowPA4 8WF|NONE||Yes|No][DFP Services Ltd|1 Artemis Court
St Johns Road
Meadowfield Ind. Estate
Durham
DH7 8XQ|NONE||Yes|Yes][Arco Limited|PO Box 21
Waverley Street
Hull
HU1 2SJ|NONE||No|No][Amalgamated Ltd|M60 Office Park
Beech Court
Wynne Avenue
Swinton
M27 8FF|NONE||Yes|No][Chubb Fire & Security Ltd|Littleton Road,
Ashford,
Middlesex,
TW15 1TZ|NONE||No|Yes][Walker Fire UK Ltd|Unit 2
Roman Court
Roman Way Ind. Estate
Preston
PR2 5BB|NONE||Yes|No][OpenView Security Solutions Limited|OpenView House
Chesham Close
Romford
RM7 7PJ|NONE||No|Yes][Harmony Fire|Half Acre House Tintinhull Road,
Chilthorne Domer,
Yeovil,
Somerset,
United Kingdom,
BA22 8QX|NONE||Yes|No][Firemark Limited|BFF Business Park
Bath Road
Bridgwater
Somerset
TA6 4NZ|NONE||Yes|No][Trinity Fire & Security Systems|13 Flemming Court,
Whistler Drive,
Castleford,
West Yorkshire,
England,
WF10 5HW|NONE||No|No][Securus Group|Ruby Court (No.9-18) Wesley Drive,
Benton Square Industrial Estate,
Newcastle Upon Tyne,
United Kingdom,
NE12 9UP|NONE||Yes|No][Marlowe Fire & Security|Matthew Elliot House
64 Broadway
Salford Quays
Manchester
M50 2TS|NONE||No|No]","Andrew Trafford",01/01/2020,31/12/2023,"Open ",
CUM001-DN410742-51947997,Contract,"Cumbria County Council",Awarded,2019-11-18T14:28:58Z,"For the Supply and Delivery of Personal Protective Equipment (PPE) and Corporate Wear 2019-2021","This opprtunity is advertised via The Chest https://www.the-chest.org.uk/ The Council requires multiple suppliers to provide their services to supply and deliver short and long term use Personal Protective Equipment (PPE) and Corporate Wear including but not least items such as safety helmets, gloves, eye protection, high-visibility clothing, safety footwear and safety harnesses as well as respiratory protective equipment (RPE). The Council also requires additional work wear items for teams working in Health and Social Care, Catering and Civil Enforcement. Each Suppplier will provide all of the Council's requirements. All clarifications MUST be via The Chest.",,,"North West","18000000 ","Clare Redpath",clare.redpath@cumbria.gov.uk,"Cumbria House","107 - 117 Botchergate",Carlisle,"CA1 1RZ","United Kingdom","+44 1228221746",http://www.cumbria.gov.uk/,,,,01/10/2019,30/09/2021,19/08/2019,NO,,Yes,No,No,Products,750000,750000,24/10/2019,750000,"[Rexel UK Limited|B26 3RZ|NONE||No|No][Thomas Graham|Ca22 2rd|NONE||Yes|No][Arco Limited|HU1 2SJ|NONE||No|No]","Mr Andrew Copland",01/01/2020,31/12/2021,"Open ",
"CC12656 - AWARD",Contract,"Hampshire County Council",Awarded,2019-05-31T11:20:48Z,"Framework Agreement for the Supply Of Cleaning Equipment (into stores only) - AWARD","Hampshire County Council invites applications from suitably experienced organisations who wish to be considered for selection to tender for the supply of cleaning equipment, including mops buckets, cloths, scour pads, brooms, brushes, floor pads (palletised into County Supplies warehouse only). 
      
      The Framework will commence on 01 June 2019 and will be for a period of 4 years.
      
      Interested parties should register their interest in the project via the In-Tend website https://in-tendhost.co.uk/hampshire, and complete and submit the tender return document together with any supporting information requested by 14:00 hrs on Tuesday 2nd April 2019.",,"SO23 9NR","South East","39224000 39224320 39833000 39224350 39224100 39525800 39525100 39224200 39514200 39525600 34928480 39224330 39224310 ","Caroline Green",caroline.green@hants.gov.uk,"Bar End Road",Winchester,Hampshire,"SO23 9NR","United Kingdom","01962 826917",,,,,01/06/2019,31/05/2023,02/04/2019,NO,,Yes,No,No,Products,2000000,3000000,31/05/2019,1,"[ADDIS HOUSEWARES LTD|ZONE 3 WATERTON POINT, BROCASTLE AVENUE, BRIDGEND, GLAMORGAN, United Kingdom, CF31 3US|NONE||No|No][Arco Limited|PO Box 21, Waverley Street, Hull, United Kingdom, HU1 2SJ|NONE||No|No][Arrow County Supplies Limited|Arrow House, Longden Road, Shrewsbury , United Kingdom, SY3 9AE|NONE||No|No][Banner Group Limited|Newland House, Tuscany Park, Express Way, Normanton, United Kingdom, WF6 2TZ|NONE||No|No][BUNZL UK t/a Greenham|Units 13 - 15 Central Trading Estate, Northam, Southampton, Hampshire, United Kingdom, SO14 5JP|NONE||No|No][Comax UK Ltd|2 Yeoman Road, RINGWOOD, Hampshire, United Kingdom, BH24 3FA|NONE||No|No][Deliver Net Ltd|Healthcare House, Snaygill Industrial Estate, Skipton, North Yorkshire, United Kingdom, BD23 2QR|NONE||No|No][Diversey Ltd|Weston Favell Centre, Weston Favell, Northampton, United Kingdom, NN3 8PD|NONE||No|No][First Stop Catering & Hygiene Supplies Limited|72  Condor Close, Woolsbridge Industrial Park, Three Legged Cross, Dorset, United Kingdom, BH21 6SU|NONE||No|No][Harrison Wipes|4 Langley Close, Harold Hill Industrial Estate, Romford, Essex, United Kingdom, RM3 8XB|NONE||No|No][P GERRATT LTD|BARING ROAD, NORTHAMPTON, United Kingdom, NN5 7BA|NONE||No|No][Robert Scott and Sons|Oakview Mills, Manchester road, Greenfield, Greater Manchester, United Kingdom, Ol3 7HG|NONE||No|No][Scot Young Research Ltd|Lye by pass, Lye, Stourbridge, West Midlands, United Kingdom, DY9 8HG|NONE||No|No][Wessex Cleaning Equipment & Janitorial Supplies Ltd|Wessex House, 6-18 Empress Road, Southampton, Hampshire, United Kingdom, SO14 0JU|NONE||No|No][Yate Dispouppliessables Ltd T/A Yate S|26 North Road, Yate, Bristol, United Kingdom, BS37 6PA|NONE||No|No][YORKSHIRE CLEANING FABICS|DRAKES INDUSTRIAL ESTATE, SHAY LANE, OVENDEN, HALIFAX, WEST YORKSHIRE, United Kingdom, HX3 6RL|NONE||No|No]","TIM SEVIOUR",01/06/2019,31/05/2023,"Open ",
YPO001-DN356870-05211524,Contract,YPO,Awarded,2019-03-04T11:21:32Z,"YPO - 000922 Washroom Cleaning Chemicals","YPO are looking for providers to be appointed onto a Framework Agreement for the supply of Washroom Chemicals. This Framework is designed to allow YPO to meet the needs of all public sector organisations by establishing an agreement whereby the end customer will place orders directly with YPO and the provider will deliver either direct to the end customer on an agreed basis or to YPO's warehouse depending on Lot and Specification requirement. The Framework Agreement will cover the period from 26 November 2018 to 25 November 2019, with three options to extend for an additional 12 months. The first decision to extend the contract period will be taken by the end of October 2019 and will be dependent on satisfactory completion of all aspects of the contract to date, the current market conditions for this category and YPO's contracting structures. The maximum contract period will therefore be 4 years, from 26 November 2018 to 25 November 2022 (subject to an annual review, incorporating price negotiations and KPI performance.) The framework has an estimated value of between £3,500,000 - £4,500,000 for the maximum life of the contract (4 years).",,,"Yorkshire and the Humber","39800000 ","Contracts Team",contracts@ypo.co.uk,"41 Industrial Park",,Wakefield,"WF2 0XE","United Kingdom","+44 1924834834",https://tendering.ypo.co.uk/?ReadForm,,,,26/11/2018,25/11/2019,08/11/2018,NO,,Yes,Yes,No,Products,3500000,4500000,21/01/2019,4500000,"[ANGLIAN CHEMICALS|Milliers Close
Fakenham Industrial Estate
Fakenham
Norfolk
NR21 8NW|NONE||Yes|No][Selden Research Ltd (incorporating Jeyes Professional)|Staden Business Park
Staden Lane
Buxton
Derbyshire
SK17 9RZ|NONE||Yes|No][Primeline Sales & Marketing (UK)|14 Eagle Park Drive
Warrington
Cheshire
WA2 8JA|NONE||No|No][CPD PLC|Ipark
Innovation Drive
Hull
South Yorkshire
HU5 1SG|NONE||Yes|No][Arrow County Supplies|Arrow House
Longden Road
Shrewsbury
Shropshire
SY3 9AE|NONE||Yes|No][Arco Limited|PO Box 21
Waverley Street
Hull
HU1 2SJ|NONE||No|No][Diversey Ltd|Weston Favell Centre
Northampton
Northamptonshire
NN3 8PD|NONE||No|No][Active Brand Concepts Ltd|The forge
Crewe Hall Farm
Crewe
Cheshire
CW1 5UE|NONE||Yes|No]",,01/02/2019,31/01/2020,"Open ",
ESPO001-DN343778-12268790,Contract,ESPO,Awarded,2018-12-03T12:16:21Z,"23_19 - Supply of Cleaning Chemicals","A framework for the supply of professional standard cleaning chemicals and hand soaps, suitable for use in commercial environments.  Requirements include, but are not limited to: cleaning chemicals for use in kitchens, laundry care, washrooms, multi-purpose cleaners, floor care, bleach, disinfectants, polishers, air fresheners, wipes, hand soaps and hand sanitisers.

Also required are a range of cleaning chemical and hand soap products to be delivered with a specific ESPO-branded product label adhered to the bottle/container.  All goods are for delivery to ESPO, Leicester.

Lot 1: Branded Cleaning Chemicals - Items required include hand soaps and a range of cleaning chemicals for use in kitchens, washrooms, offices and classrooms in commercial, industrial and educational environments.
Lot 2: Branded Hand Soaps - Items include hand soaps and hand sanitisers for use in commercial, industrial and educational environments.  To be of professional standard and be market leading/best-selling/widely known brand names.
Lot 3: Unbranded Cleaning Chemicals and Hand Soaps - Items required include hand soaps and a range of cleaning chemicals for use in kitchens, washrooms, offices and classrooms in commercial, industrial and educational environments.
Lot 4: ESPO Own-Brand ""SmartBuy"" Cleaning Chemicals and Soaps - Items required include hand soaps and a range of cleaning chemicals for use in kitchens, washrooms, offices and classrooms in commercial, industrial and educational environments.

The framework agreement has the option to extend for up to a further 23 months. The total estimated value stated includes the option period.

To tender:
(a) Go to www.eastmidstenders.org
(b) Register;
(c) Search for tender opportunity ""23_19"";
(d) Express an interest;
(e) Download the tender from the website.

Please note:  the closing date/time for submission of tenders is 12:00 midday, 17/08/2018",,,"Any region","33711900 33741300 39830000 98320000 ","Mrs Joanna Kyprianou",tenders@espo.org,"Barnsdale Way, Grove Park",Enderby,Leicester,"LE19 1ES",England,"+44 1162944084",http://www.espo.org/,,,"To tender:
(a) Go to www.eastmidstenders.org
(b) Register;
(c) Search for tender opportunity ""23_19"";
(d) Express an interest;
(e) Download the tender from the website.

Please note:  the closing date/time for submission of tenders is 12:00 midday, 17/08/2018
",01/03/2019,31/03/2021,17/08/2018,NO,,Yes,Yes,No,Products,7000000,7000000,30/10/2018,7200000,"[Industrial Maintenance Supplies (Leicester) Ltd|23-29 Pasture Lane, Leicester, LE1 4EY|NONE||Yes|No][Arco Limited|PO Box 21, Waverley Street, Hull, HU1 2SJ|NONE||No|No][Diversey Ltd|Weston Favell Centre, Northampton, NN3 8PD|NONE||No|No][Essity UK Ltd|Southfields Road, Dunstable, Bedfordshire, LU6 3EJ|NONE||No|No][Banner Group Limited|K House, Sheffield Business Park, Europa Link, Sheffield, S9 1XU|NONE||No|No][Merton Group UK Ltd|Unit 9 and 10 Foxholes Road, Leicester, LE3 1TH|NONE||Yes|No][FORESTDALE BUSINESS SERVICES LTD|1-3 Manor Road, Chatham, Kent ME4 6AG|NONE||Yes|No][Selden Research Ltd|Staden Business Park, Buxton, SK17 9RZ|NONE||Yes|No][Mirius TA Coventry Chemicals Ltd|Woodhams Road, Siskin Drive, Coventry, CV3 4FX|NONE||Yes|No][Reliance Medical Ltd|West Avenue, Talke, Stoke-on-Trent, ST7 1TL|NONE||Yes|No][Greenspeed NV|Elisalei 14, 2930 Brasschaat, Belgium|NONE||Yes|No][Kimberly-Clark Limited|1 Tower View, Kings Hill, West Malling, Kent, ME19 4HA|NONE||No|No]",,01/03/2019,31/03/2021,"Open ",
