Organisation name,Purchase Order Number,Order date,Total_Value,Supplier_Name,Account_Name,Service
Rochdale Borough Council,d1046026,2014-11-06,455392.64,G M WASTE DISPOSAL AUTHORITY,WASTE DISPOSAL LEVY,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1015056,2014-11-06,8499.00,PEOPLETOO LIMITED,CONSULTANT FEES,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,ph100601,2014-11-06,8209.35,VICTIM SUPPORT & WITNESS SERVICE,PH BUSINESS CASES,PUBLIC HEALTH
Rochdale Borough Council,q1002949,2014-11-06,5244.25,BINDMONT PRINT SERVICES LTD,PRINTING & STATIONERY,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,d1046068,2014-11-07,12461.04,STRAIGHT MANUFACTURING LTD,PURCHASE OF OTHER EQUIPMENT,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046069,2014-11-07,10225.44,STRAIGHT MANUFACTURING LTD,PURCHASE OF OTHER EQUIPMENT,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046070,2014-11-07,11644.56,STRAIGHT MANUFACTURING LTD,PURCHASE OF OTHER EQUIPMENT,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046071,2014-11-07,5112.72,STRAIGHT MANUFACTURING LTD,PURCHASE OF OTHER EQUIPMENT,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046073,2014-11-07,5822.28,STRAIGHT MANUFACTURING LTD,PURCHASE OF OTHER EQUIPMENT,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046074,2014-11-07,5112.72,STRAIGHT MANUFACTURING LTD,PURCHASE OF OTHER EQUIPMENT,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046075,2014-11-07,5112.72,STRAIGHT MANUFACTURING LTD,PURCHASE OF OTHER EQUIPMENT,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046076,2014-11-07,5822.28,STRAIGHT MANUFACTURING LTD,PURCHASE OF OTHER EQUIPMENT,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1015066,2014-11-07,8538.00,PENNINE CARE NHS,HEALTH AUTH - SERVICE LEVEL AGREEMENT,EARLY HELP AND SCHOOLS
Rochdale Borough Council,q1002964,2014-11-07,28000.00,EVERYTHING EVERYWHERE LIMITED,TRANSACTIONS-EXPENDITURE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,x1009926,2014-11-07,9000.00,REDACTED PERSONAL DATA,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,e1015071,2014-11-10,9000.00,OFFICE DEPOT UK LIMITED,PRINTING,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015078,2014-11-10,10087.20,DIOCESE OF SALFORD,IMPROVEMENTS-MODERNISATION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015079,2014-11-10,114228.00,DIOCESE OF SALFORD,IMPROVEMENTS-MODERNISATION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,ph100604,2014-11-10,180188.68,BIG LIFE CENTRES,PH BIG LIFE CONTRACT,PUBLIC HEALTH
Rochdale Borough Council,q1002988,2014-11-10,8403.75,JGM AGENCY,PUBLICITY,FINANCE SERVICES
Rochdale Borough Council,d1046105,2014-11-11,71735.00,POWER PERFECTOR LTD,ENGINEERS FEES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1046128,2014-11-11,18137.75,FORD MOTOR COMPANY LTD,PURCHASE OF VEHICLES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046129,2014-11-11,32960.00,EMO OIL LIMITED,TRANSACTIONS-EXPENDITURE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046140,2014-11-11,21079.50,COMPLETE DEMOLITION LIMITED,DEMOLITION AND CLEARANCE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1015087,2014-11-11,8100.00,DIOCESE OF SALFORD,IMPROVEMENTS-MODERNISATION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015089,2014-11-11,6250.00,BARNARDOS,ACTIVITIES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1003818,2014-11-11,12225.60,BERTRAM TRADING LIMITED,BOOKS/NEWSPAPERS/PERIODICALS,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,ph100610,2014-11-11,6783.00,VIRGIN CARE BLACKPOOL LLP,PH OTHER CONTRACTS,PUBLIC HEALTH
Rochdale Borough Council,d1046162,2014-11-12,9881.72,KASHMIR YOUTH PROJECT,MISCELLANEOUS CAPITAL EXPENDITURE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046180,2014-11-12,50000.00,UNITY PARTNERSHIP LTD,AGENCY STAFF,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1015095,2014-11-12,666888.18,AXIOM EDUCATION (ROCHDALE) LIMITED,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,q1003008,2014-11-12,5481.85,SPECIALIST COMPUTER CENTRES PLC,SOFTWARE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003013,2014-11-12,11516.00,ROCHDALE TOWN CENTRE MANAGEMENT CO,EVENTS,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,s1017620,2014-11-12,75000.00,NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,SERVICE LEVEL AGREEMENTS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,d1046188,2014-11-13,21600.00,OUR LIFE,ACTIVITIES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046202,2014-11-13,7246.50,URBAN VISION PARTNERSHIP LTD,AGENCY STAFF,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046227,2014-11-13,21600.00,UNITY PARTNERSHIP LTD,CONSULTANT FEES,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1015110,2014-11-13,50500.00,POSITIVE STEPS,EXTERNALLY MANAGED FUNDS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,s1017626,2014-11-13,5503.00,STANNAH LIFT SERVICES LTD,IMPROVEMENTS-EXTENSIONS & ALTERATIONS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1017627,2014-11-13,7771.00,K P DODD CONSTRUCTION LIMITED,IMPROVEMENTS-EXTENSIONS & ALTERATIONS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,d1046266,2014-11-14,9000.00,ORCHARD  RECYCLING SERVICE LTD,EQUIPMENT - GENERAL,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046267,2014-11-14,9175.00,D AND M DEMOLITION AND RECYCLING LTD,REMOVAL/STRIP OUT COSTS,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046269,2014-11-14,5330.82,COMMERCIAL CONTRACT ENGINEERS LIMITED,TRANSACTIONS-EXPENDITURE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046270,2014-11-14,20185.00,JONES LANG LASALLE,SECURITY,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046271,2014-11-14,25231.00,JONES LANG LASALLE,SECURITY,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046273,2014-11-14,20940.00,J S C PLAY SERVICES LIMITED,CAPITAL BUDGET ALLOCATION,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1015135,2014-11-17,14000.00,AVENTIS SOLUTIONS LIMITED,AGENCY STAFF,EARLY HELP AND SCHOOLS
Rochdale Borough Council,q1003040,2014-11-17,8016.00,ROCHDALE MEMORIAL SERVICE LTD,EXPENSES - GENERAL,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,d1046296,2014-11-18,5263.00,ABC INDUSTRIAL DOORS LTD,TRANSACTIONS-EXPENDITURE,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1046328,2014-11-18,12500.00,THE BOND BOARD LIMITED,ACTIVITIES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046329,2014-11-18,17500.00,THE BOND BOARD LIMITED,GRANTS TO OTHER BODIES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046330,2014-11-18,7742.50,HRR SOLUTIONS,MINOR BUILDING WORKS,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046337,2014-11-18,422114.00,AEBI SCHMIDT UK LIMITED,PURCHASE OF VEHICLES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046338,2014-11-18,16000.00,TELEREAL TRILLIUM,PROFESSIONAL FEES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1015136,2014-11-18,387543.21,INSPIREDSPACES ROCHDALE PROJECTCO2 LTD,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015138,2014-11-18,21697.44,INSPIREDSPACES ROCHDALE LTD,IT SUPPORT,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1003832,2014-11-18,8116.00,CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,FINANCE SERVICES
Rochdale Borough Council,ph100620,2014-11-18,15000.00,THE PENNINE ACUTE HOSPITALS NHS TRUST,PH OTHER CONTRACTS,PUBLIC HEALTH
Rochdale Borough Council,ph100621,2014-11-18,50474.00,THE PENNINE ACUTE HOSPITALS NHS TRUST,PH PENNINE ACUTE CONTRACT,PUBLIC HEALTH
Rochdale Borough Council,q1003050,2014-11-18,7947.65,SQUIRE PATTON BOGGS UK LLP,LEGAL SERVICES EXTERNAL,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,q1003053,2014-11-18,5746.00,SQUIRE PATTON BOGGS UK LLP,LEGAL SERVICES EXTERNAL,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046342,2014-11-19,5000.00,A E YATES LTD,HIGHWAYS STAFF TIME,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1015152,2014-11-19,19056.84,INSPIREDSPACES ROCHDALE LTD,IT SUPPORT,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015153,2014-11-19,26329.59,AXIOM EDUCATION (ROCHDALE) LIMITED,IMPROVEMENTS-MODERNISATION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,q1003059,2014-11-19,6811.00,XEROX UK LTD,TRANSACTIONS-EXPENDITURE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003062,2014-11-19,17095.16,NORTHGATE INFORMATION SOLUTIONS UK LTD,SOFTWARE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003070,2014-11-19,12240.00,DAISY COMMUNICATIONS LTD,IT MAINTENANCE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003071,2014-11-19,20000.00,KORUS RECRUITMENT GROUP LTD,CAPITAL SALARIES,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,s1017671,2014-11-19,6080.00,HIGH BARN CONSTRUCTION LIMITED,IMPROVEMENTS-EXTENSIONS & ALTERATIONS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1017677,2014-11-19,7890.00,HIGH BARN CONSTRUCTION LIMITED,IMPROVEMENTS-EXTENSIONS & ALTERATIONS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,w1000380,2014-11-19,39400.00,ROCHDALE COMMUNITY TRANSPORT,SERVICE LEVEL AGREEMENTS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,d1046396,2014-11-20,8691.00,TOMAX BUILDING SERVICES LTD,IMPROVEMENTS-MODERNISATION,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1015161,2014-11-20,288180.66,INSPIREDSPACES ROCHDALE PROJECT CO1 LTD,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015164,2014-11-20,13778.00,OLDHAM METROPOLITAN BOROUGH COUNCIL,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015169,2014-11-20,11951.10,BEVAN BRITTAN LLP,CONSULTANTS FEES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,q1003077,2014-11-20,8193.72,Misco,PURCHASE OF ICT HARDWARE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,s1017678,2014-11-20,9633.00,TYNETEC LTD,EQUIPMENT - GENERAL,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,d1046428,2014-11-21,11200.00,ROBERT WHETHAM ASSOCIATES,ARCHITECTS FEES,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1046429,2014-11-21,8160.00,EMO OIL LIMITED,TRANSACTIONS-EXPENDITURE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046430,2014-11-21,8082.30,ARCO,EQUIPMENT - GENERAL,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046433,2014-11-21,5267.44,NORTHGATE VEHICLE HIRE LIMITED,TRANSACTIONS-EXPENDITURE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046434,2014-11-21,6241.69,NORTHGATE VEHICLE HIRE LIMITED,TRANSACTIONS-EXPENDITURE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046435,2014-11-21,20833.35,ROCHDALE & DIST CITIZENS ADVICE BUREAU,GRANTS TO THE VOLUNTARY SECTOR,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046443,2014-11-21,10985.00,NORTHERN INSULATION CONTRACTORS,IMPROVEMENTS-MODERNISATION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1046448,2014-11-21,8004.00,VIZWEAR,"CLOTHES, UNIFORM AND LAUNDRY",ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1015178,2014-11-21,23285.65,AXIOM EDUCATION (ROCHDALE) LIMITED,MEALS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015179,2014-11-21,17448.08,NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,AGENCY STAFF,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,e1015183,2014-11-21,5349.72,AXIOM EDUCATION (ROCHDALE) LIMITED,"DEV CAP - NEW CONSTRUCTION,CONVERSION",EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1046464,2014-11-22,69152.00,UNITY PARTNERSHIP LTD,ROADWORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1046480,2014-11-24,32323.79,JONES LANG LASALLE,SECURITY,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046482,2014-11-24,10000.00,THE SANCTUARY TRUST,ACTIVITIES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046483,2014-11-24,5822.00,THE SANCTUARY TRUST,ACTIVITIES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,q1003104,2014-11-24,10000.00,SENITOR RECRUITMENT,CAPITAL SALARIES,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,d1046516,2014-11-25,5368.50,PLAYBROKERS LTD,EQUIPMENT - GENERAL,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046535,2014-11-25,16757.54,F S MOULT & SON,DRAINAGE AND SEWERS,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1015201,2014-11-25,187893.74,INSPIREDSPACES ROCHDALE PROJECTCO2 LTD,IMPROVEMENTS-MODERNISATION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015213,2014-11-25,159554.17,INSPIREDSPACES ROCHDALE PROJECTCO2 LTD,IMPROVEMENTS-MODERNISATION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015215,2014-11-25,22734.00,PONTVILLE SCHOOL,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015216,2014-11-25,31848.00,WINGS SCHOOL,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015217,2014-11-25,13059.00,ROSSENDALE SCHOOL PRIORY,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015218,2014-11-25,13059.00,ROSSENDALE SCHOOL PRIORY,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015219,2014-11-25,13059.00,ROSSENDALE SCHOOL PRIORY,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015220,2014-11-25,13059.00,ROSSENDALE SCHOOL PRIORY,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1003852,2014-11-26,7975.00,PLAIN ENGLISH CAMPAIGN LTD,TRAINING-NON QUALIFICATION,FINANCE SERVICES
Rochdale Borough Council,d1046557,2014-11-27,8839.00,PLAYDALE PLAYGROUNDS LIMITED,PURCHASE OF OTHER EQUIPMENT,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046560,2014-11-27,97499.00,JOHNSTON SWEEPERS LIMITED,PURCHASE OF VEHICLES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046564,2014-11-27,30300.00,EMO OIL LIMITED,TRANSACTIONS-EXPENDITURE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046565,2014-11-27,28280.00,EMO OIL LIMITED,TRANSACTIONS-EXPENDITURE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046572,2014-11-27,8839.00,PLAYDALE PLAYGROUNDS LIMITED,PURCHASE OF OTHER EQUIPMENT,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1015249,2014-11-27,10658.00,BELMONT SCHOOL LIMITED,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015250,2014-11-27,10658.00,BELMONT SCHOOL LIMITED,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015251,2014-11-27,10658.00,BELMONT SCHOOL LIMITED,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015252,2014-11-27,10658.00,BELMONT SCHOOL LIMITED,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015253,2014-11-27,9810.12,BELMONT SCHOOL LIMITED,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015254,2014-11-27,10347.68,BELMONT SCHOOL LIMITED,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,q1003128,2014-11-27,9111.56,EXPERIAN LIMITED,MISC CHARGES,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003131,2014-11-27,15000.00,STHREE PARTNERSHIP LLP,CAPITAL SALARIES,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003132,2014-11-27,14000.00,STHREE PARTNERSHIP LLP,CAPITAL SALARIES,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003134,2014-11-27,7200.00,MAUREEN DALEY LTD,TRAINING,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,q1003135,2014-11-27,10560.00,NDI RECOGNITION SYSTEMS LTD,SECURITY,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,d1046617,2014-11-28,10650.00,D AND M DEMOLITION AND RECYCLING LTD,REMOVAL/STRIP OUT COSTS,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046628,2014-11-28,14410.00,BALMERS GM LTD,PURCHASE OF PLANT AND MACHINERY,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1015267,2014-11-28,10000.00,ROCHDALE DEVELOPMENT AGENCY,ACTIVITIES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015268,2014-11-28,10317.67,THE ROYAL NATIONAL COLLEGE FOR THE BLIND,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,x1009994,2014-11-28,18000.00,NUGENT CARE ,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d1046639,2014-12-01,5375.00,MACE LIMITED,CONSULTANT FEES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,ph100635,2014-12-01,227150.00,PENNINE CARE NHS,PH PENNINE CARE CONTRACT,PUBLIC HEALTH
Rochdale Borough Council,d1046697,2014-12-02,22470.73,BRAHM FUNDCO 2 LTD,PFI SCHEMES RPI,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046698,2014-12-02,382000.00,COMMUNITY LIGHTING PARTNERSHIP ROCHDALE LTD,PFI SCHEMES RPIX,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1015284,2014-12-02,9768.99,BRIGHT FUTURES SCHOOL LTD,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015285,2014-12-02,10427.00,BEECHKEYS CARE AND EDUCATION,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015289,2014-12-02,5314.13,MOTT MACDONALD LIMITED,CONSULTANTS FEES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,ph100637,2014-12-02,10000.00,PENNINE CARE NHS,PH PENNINE CARE CONTRACT,PUBLIC HEALTH
Rochdale Borough Council,q1003145,2014-12-02,18000.00,UPDATA INFRASTRUCTURE UK LTD,COMMUNICATION AND COMPUTING - GENERAL,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003152,2014-12-02,197682.00,FREEDOM COMMUNICATIONS,PURCHASE OF ICT SOFTWARE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,x1010006,2014-12-02,5920.00,FRANK WHITELOCK,CONSULTANT FEES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1046710,2014-12-03,39914.42,URS INFRASTRUCTURE AND ENVIRONMENT UK LTD,DEMOLITION,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1015315,2014-12-03,7728.00,GATENBY SANDERSON,AGENCY STAFF,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,q1003156,2014-12-03,45369.91,NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,SERVICES - GENERAL,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,s1017744,2014-12-03,8780.85,NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,SOCIAL SERVICES OTHER,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,d1046729,2014-12-04,10000.00,JMHA,IMPROVEMENTS-MODERNISATION,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,f1003868,2014-12-04,5600.00,PRICE WATERHOUSE COOPERS,PROVISIONS UTILISED IN YEAR,FINANCE SERVICES
Rochdale Borough Council,d1046770,2014-12-05,5226.26,OLDHAM MBC,AGENCY STAFF,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1015326,2014-12-05,38083.33,CRUCKTON HALL SCHOOL,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015327,2014-12-05,38083.33,CRUCKTON HALL SCHOOL,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015328,2014-12-05,12209.76,THE TOGETHER TRUST,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015329,2014-12-05,12658.99,THE TOGETHER TRUST,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015330,2014-12-05,12253.08,THE TOGETHER TRUST,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015331,2014-12-05,11037.85,THE TOGETHER TRUST,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015332,2014-12-05,11483.26,THE TOGETHER TRUST,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015333,2014-12-05,13077.00,NEW COLLEGE WORCESTER,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,ph100640,2014-12-05,142688.92,BIG LIFE CENTRES,PH BIG LIFE CONTRACT,PUBLIC HEALTH
Rochdale Borough Council,q1003168,2014-12-05,22400.00,STHREE PARTNERSHIP LLP,CAPITAL SALARIES,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003173,2014-12-05,15600.00,SENITOR RECRUITMENT,CAPITAL SALARIES,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,s1017767,2014-12-05,5530.00,MICK TAYLOR LIMITED,TRANSACTIONS-EXPENDITURE,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,d1046804,2014-12-08,5911.48,KASHMIR YOUTH PROJECT,MISCELLANEOUS CAPITAL EXPENDITURE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046810,2014-12-08,6196.32,BRAHM FUNDCO 2 LTD,PFI SCHEMES RPI,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046811,2014-12-08,5310.00,EMO OIL LIMITED,OIL,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046812,2014-12-08,11362.00,EARLEY ORNAMENTALS LTD,"TREES, SHRUBS, PLANTS",ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046820,2014-12-08,23000.00,PROFILE SECURITY SERVICES LIMITED,SECURITY,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046825,2014-12-08,25589.34,RIVERSIDE TRUCK RENTAL,EQUIPMENT - GENERAL,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046827,2014-12-08,11644.56,STRAIGHT MANUFACTURING LTD,PURCHASE OF OTHER EQUIPMENT,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1015344,2014-12-08,5773.94,DIOCESE OF SALFORD,IMPROVEMENTS-MODERNISATION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1003872,2014-12-08,11784.50,MERITEC LIMITED,AGENCY STAFF,FINANCE SERVICES
Rochdale Borough Council,ph100643,2014-12-08,50474.00,THE PENNINE ACUTE HOSPITALS NHS TRUST,PH PENNINE ACUTE CONTRACT,PUBLIC HEALTH
Rochdale Borough Council,ph100644,2014-12-08,15000.00,THE PENNINE ACUTE HOSPITALS NHS TRUST,PH OTHER CONTRACTS,PUBLIC HEALTH
Rochdale Borough Council,q1003184,2014-12-08,15640.00,TURNING POINT SERVICES LIMITED,SERVICES - GENERAL,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,d1046853,2014-12-09,21295.00,GROUNDWORK OLDHAM AND ROCHDALE,MISCELLANEOUS CAPITAL EXPENDITURE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1015345,2014-12-09,6175.00,DR CAROLINE WHITE,ACTIVITIES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015346,2014-12-09,669886.43,AXIOM EDUCATION (ROCHDALE) LIMITED,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,ph100649,2014-12-09,7634.00,VIRGIN CARE BLACKPOOL LLP,PH OTHER CONTRACTS,PUBLIC HEALTH
Rochdale Borough Council,x1010074,2014-12-09,11320.00,NSPCC REGISTERED CHARITY,CONSULTANT FEES,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d1046885,2014-12-10,46245.00,COMPASS MINERALS UK LIMITED,MATERIAL - GENERAL,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1046896,2014-12-10,2400000.00,STYLES AND WOOD,NEW CONSTRUCTION,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046897,2014-12-10,11483.33,NORTHGATE INFORMATION SOLUTIONS UK LTD,SERVICES - GENERAL,ECONOMY AND ENVIRONMENT
